name,display,manufactor,needed,forbidden,highscore
Extremoduro Pinball,Extremoduro Pinball,Original 2021,,,
F-14 Tomcat,F-14 Tomcat,Williams 1987,"tomcat,14",,
Faces,Faces,Sonic 1976,"Faces,Sonic,1976",,Faces.txt
Faeton,Faeton,Juegos Populares 1985,,,
Fair Fight,Fair Fight,Recel 1978,,,
Fallout Season 1,Fallout Season 1,Original 2024,,,
Fallout Vault Edition,Fallout Vault Edition 2.0,Original 2024,,,
Family Guy,Family Guy,Stern 2007,,road,
Family Guy Road To The North Pole,Family Guy: Road To The North Pole,Original 2019,"road,family,guy",,
Fan-Tas-Tic,Fan-Tas-Tic,Williams 1972,,,Fantastic.txt
Far Cry 3 Blood Dragon,Far Cry 3 Blood Dragon,Original 2018,,,
Far Out,Far Out,Gottlieb 1974,"Far,Out,Gottlieb,1974",,FarOut_74VPX.txt
Farfalla,Farfalla,Zaccaria 1983,,,
Fashion Show,Fashion Show,Gottlieb 1962,"Fashion,Show,Gottlieb,1962",,FashionShow_1962.txt
Fast Draw,Fast Draw,Gottlieb 1975,"Fast,Draw,Gottlieb,1975",,FastDraw_75VPX.txt
Fathom,Fathom,Bally 1981,,,
Fifteen,Fifteen,Inder 1974,"Fifteen,Inder,1974",,fifteen.txt
Fifth Element,The Fifth Element,Original 2022,,,
